,Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Event Duration,Event ID,Summary
90,Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,2309.2,1736.1,33.0,4,90,"Tornado outbreak across the Midwest, Southeast and Northeast states (AL, AR, DE, FL, GA, KS, MD, MO, MS, NC, NJ, NY, PA, TN, VA) with 83 confirmed tornadoes. Mississippi had its 3rd greatest number of tornadoes reported for any day since 1950. Torrential rainfall in the Florida panhandle also caused major flooding, as Pensacola set new 1-day and 2-day precipitation records of 15.55 and 20.47 inches, respectively. Flooding rains were also reported in coastal Alabama, as Mobile received 11.24 inches of rain, the third greatest calendar day rainfall total for the city."
91,Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,1134.5,853.0,0.0,4,91,"Severe weather including damaging hail, high winds and more than 50 tornadoes impacted Kansas, Nebraska, Missouri, Illinois, Indiana, Ohio and West Virginia. These impacts caused damage to homes, businesses, vehicles and other infrastructure."
92,Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,4938.6,3713.2,0.0,5,92,"Severe storms across the Rockies, Midwest and Eastern states (CO, MT, IA, IL, IN, OH, SC, VA, PA, DE, NY) with the most costly damage in Colorado, Illinois and Pennsylvania."
93,Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,2533.4,1919.2,2.0,2,93,"Severe storms across the Rockies and Central Plains states (NE, KS, WY, IA, AR). Wind gusts exceeding 90 mph and baseball to softball sized hail caused severe damage to structures and vehicles in central and eastern Nebraska."
94,Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,1361.9,1031.7,2.0,2,94,"Heavy rainfall in excess of 5 inches caused significant flooding in cities across Michigan damaging thousands of cars, business, homes and other infrastructure. Flooding also occurred across Maryland and New York's Long Island, as the slow-moving storm system delivered 24-hour rainfall exceeding 6 and 12 inches, respectively, creating more flood damage. Islip, NY received 13.57 inches of rain over a 24-hour period on Aug 12-13 setting a new 24-hour precipitation record for New York."
95,Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,1862.6,1400.4,0.0,3,95,"Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area."
96,Western Drought (2015),Drought,2015-01-01,2015-12-31,6029.3,4466.0,0.0,364,96,"Drought conditions were present across numerous western states (CA, NV, OR, WA, ID, MT, UT, AZ) with the most severe conditions continuing to plague California for all of 2015. The agriculture sector was again impacted by a lack of rainfall resulting in hundreds of thousands of acres of farmland remaining fallow and requiring excess groundwater pumping to irrigate existing agriculture interests. Wildfire conditions were further enhanced by the ongoing drought. California experienced extensive damage from both drought and wildfire impacts. Drought conditions did improve dramatically across Texas and Oklahoma, in the form of several major flood events."
97,Central and Eastern Winter storm Cold Wave (February 2015),Winter Storm,2015-02-14,2015-02-20,3969.3,2962.1,30.0,6,97,"A large winter storm and associated cold wave impacted many central, eastern and northeastern states (CT, DE, GA, IL, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA). The city of Boston was particularly impacted as feet of snow continued to accumulate causing load-stress on buildings and clogging transportation corridors. Total, direct losses in Massachusetts alone exceed $1.0 ($1.3) billion for this event, with considerable damage in many other states."
98,Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,2069.0,1555.6,2.0,2,98,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois."
99,South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,1707.6,1283.9,0.0,2,99,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas."
100,South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,1255.8,944.0,3.0,1,100,"Severe weather produced tornadoes, large hail and high wind damage across numerous southern and southeastern states including Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi and Texas. These storms caused widespread impacts to many homes, vehicles and businesses."
101,Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,1691.9,1272.1,4.0,4,101,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma."
102,Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,3375.6,2500.4,31.0,3,102,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded $1.0 ($1.4) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms."
103,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,3996.9,3028.0,12.0,182,103,"Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding $1.0 ($1.3) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX)."
104,Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,1547.1,1172.0,1.0,4,104,"Severe storms across numerous Central and Northeast states (CO, CT, IA, IL, MD, MI, NJ, NY, PA, SD, VA, WI) with widespread hail and high wind damage."
105,South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25.0,4,105,"Historic levels of flooding impacted South Carolina causing widespread damage to many homes, businesses, public buildings and infrastructure. This interrupted commerce and closed major transportation corridors (such as I-95) for weeks as rivers slowly receded. Locally extreme rainfall totals exceeding 20-inches were common resulting from the convergence of a powerful low pressure system/frontal boundary and copious moisture from Hurricane Joaquin in the Atlantic."
106,Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,2609.3,1961.9,50.0,3,106,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather."
107,West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,4580.0,3443.5,0.0,365,107,"California's 5-year drought persisted during 2016 while new areas of extreme drought developed in states across the Northeast and Southeast. The long-term impacts of the drought in California have damaged forests where 100+ million trees have perished and are a public safety hazard. The agricultural impacts were reduced in California as water prices and crop fallowing declined. However, agricultural impacts developed in Northeast and Southeast due to stressed water supplies."
108,Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1383.5,1040.0,10.0,2,108,"Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage."
109,Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,3052.1,2294.8,5.0,4,109,"Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed."
110,Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,1597.6,1210.3,1.0,1,110,"Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi."
111,North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,2725.5,2064.8,0.0,1,111,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano."
112,North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,4618.1,3498.6,0.0,2,112,"Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States."
113,Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,3559.1,2676.0,8.0,1,113,"A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001."
114,South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6.0,6,114,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.
115,Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,2252.9,1719.6,2.0,3,115,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri."
116,Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,1501.5,1146.3,0.0,5,116,"Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage."
117,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3137.5,2395.0,21.0,213,117,"Western and Southern states experienced an active wildfire season with over 5.0 million acres burned nationally. Most notable was the firestorm that impacted Gatlinburg, Tennessee with hurricane-force wind gusts in extremely dry conditions creating volatile wildfire behavior. These wildfires destroyed nearly 2,500 structures and caused 14 fatalities. The drought conditions in many areas of the Southeast and California worsened the wildfire potential."
118,West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,1288.5,968.8,23.0,2,118,"Torrential rainfall caused destructive flooding through many West Virginia towns, damaging thousands of homes and businesses and causing considerable loss of life. Over 1,500 roads and bridges were damaged or destroyed making the impact on infrastructure comparable to the historic 2013 Colorado flood. The storm system also produced numerous tornadoes causing damage across several Ohio Valley states."
119,Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,1920.0,1465.6,0.0,2,119,"Severe storms across the Rockies and Northeastern states (CO, WY, VA, MD, PA, NJ, NY) caused large hail and high wind damage. Storm damage in Colorado was the most costly due to hail."
120,Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,13300.0,10000.0,13.0,3,120,"A historic flood devastated a large area of southern Louisiana resulting from 20 to 30 inches of rainfall over several days. Watson, Louisiana received an astounding 31.39 inches of rain from the storm. Two-day rainfall totals in the hardest hit areas have a 0.2% chance of occurring in any given year: a 1 in 500 year event. More than 30,000 people were rescued from the floodwaters that damaged or destroyed over 50,000 homes, 100,000 vehicles and 20,000 businesses. This is the most damaging U.S. flood event since Superstorm Sandy impacted the Northeast in 2012."
121,Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,13100.0,10000.0,49.0,4,121,"Category 1 hurricane made landfall in North Carolina, after it paralleled the Southeast coast along Florida, Georgia and the Carolinas causing widespread damage from wind, storm surge and inland flooding. The most costly impacts were due to historic levels of river flooding in eastern North Carolina where 100,000 homes, businesses and other structures were damaged. This inland flooding was comparable to Hurricane Floyd (1999) that also impacted eastern North Carolina. Matthew narrowly missed landall on Florida's east coast as a powerful category 4 storm."
122,Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,1436.5,1105.0,24.0,2,122,"High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak of extreme weather during a winter month (Dec.-Feb.) based on records from 1950."
123,California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,1950.0,1500.0,5.0,14,123,"Heavy, persistent rainfall across northern and central California created substantial property and infrastructure damage from flooding, landslides and erosion. Notable impacts include severe damage to the Oroville Dam spillway, which caused a multi-day evacuation of 188,000 residents downstream. Excessive rainfall also caused flood damage in the city of San Jose, as Coyote Creek overflowed its banks and inundated neighborhoods forcing 14,000 residents to evacuate."
124,Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2347.8,1806.0,6.0,1,124,Over 70 tornadoes developed during a widespread outbreak across many central and southern states causing significant damage. There was also widespread straight-line wind and hail damage. This was the second largest tornado outbreak to occur early in 2017.
125,North Dakota South Dakota and Montana Drought (Spring-Fall 2017),Drought,2017-03-01,2017-12-31,3250.0,2500.0,0.0,305,125,"Extreme drought causes extensive impacts to agriculture in North Dakota, South Dakota and Montana. Field crops including wheat were severely damaged and the lack of feed for cattle forced ranchers to sell off livestock. This drought has also contributed to the increased potential for severe wildfires."
126,Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,2828.8,2176.0,2.0,2,126,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York."
127,Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1300.0,1000.0,0.0,2,127,"Severe freeze heavily damaged fruit crops across several southeastern states (SC, GA, NC, TN, AL, MS, FL, KY, VA). Mid-March freezes are not climatologically unusual in the Southeast, however many crops were blooming 3+ weeks early due to unusually warm temperatures during the preceding weeks. Damage was most severe in Georgia and South Carolina. Crops most impacted include peaches, blueberries, strawberries and apples, among others."
128,South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0.0,2,128,"Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes."
129,Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1259.2,976.0,1.0,2,129,"Severe weather and tornadoes impact numerous southern and eastern states. The states most impacted include Alabama, Georgia and Kentucky."
130,South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1152.0,893.0,0.0,2,130,"Severe weather including hail, high winds and several tornadoes impacted Oklahoma, Texas, Tennessee, South Carolina, North Carolina and Virginia. These conditions caused damage to homes, businesses, vehicles and other infrastructure."
131,Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,2156.7,1659.0,20.0,12,131,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states."
132,Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,4321.5,3350.0,0.0,3,132,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding $2.2 ($2.8) billion."
133,North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,1214.1,941.0,1.0,3,133,"Severe weather and tornadoes cause impacts across numerous north central states. The states most impacted were Iowa, Illinois, Minnesota, and Wisconsin."
134,Western Wildfires California Firestorm (Summer-Fall 2017),Wildfire,2017-06-01,2017-12-31,23226.5,18005.0,54.0,213,134,"A historic firestorm damages or destroys over 15,000 homes, businesses and other structures across California in October. The combined destruction of the Tubbs, Atlas, Nuns and Redwood Valley wildfires represent the most costly wildfire event on record, also causing 44 deaths. Extreme wildfire conditions in early December also burned hundreds of homes in Los Angeles. Numerous other wildfires across many western and northwestern states burn over 9.8 million acres exceeding the 10-year annual average of 6.5 million acres. Montana in particular was affected by wildfires that burned in excess of 1 million acres. These wildfire conditions were enhanced by the preceding drought conditions in several states."
135,Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,3031.5,2350.0,0.0,2,135,"Severe hail and high winds cause considerable damage across Minnesota and Wisconsin. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly."
136,Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,1946.7,1509.0,0.0,4,136,"Severe hail and high wind damage impacting Nebraska, Illinois and Iowa. More than one dozen tornadoes touched down across parts of Iowa, in addition to other storm damage."
137,Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,1838.3,1425.0,0.0,2,137,"Severe hail and high wind damage impacting Nebraska, Illinois and Iowa. More than one dozen tornadoes touched down across parts of Iowa, in addition to other storm damage."
138,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,160000.0,125000.0,89.0,6,138,"Category 4 hurricane made landfall near Rockport, Texas causing widespread damage. Harvey's devastation was most pronounced due to the large region of extreme rainfall producing historic flooding across Houston and surrounding areas. More than 30 inches of rainfall fell on 6.9 million people, while 1.25 million experienced over 45 inches and 11,000 had over 50 inches, based on 7-day rainfall totals ending August 31. This historic U.S. rainfall caused massive flooding that displaced over 30,000 people and damaged or destroyed over 200,000 homes and businesses."
139,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,64000.0,50000.0,97.0,6,139,"Category 4 hurricane made landfall at Cudjoe Key, Florida after devastating the U.S. Virgin Islands - St John and St Thomas - as a category 5 storm. The Florida Keys were heavily impacted, as 25% of buildings were destroyed while 65% were significantly damaged. Severe wind and storm surge damage also occurred along the coasts of Florida and South Carolina. Jacksonville, FL and Charleston, SC received near-historic levels of storm surge causing significant coastal flooding. Irma maintained a maximum sustained wind of 185 mph for 37 hours, the longest in the satellite era. Irma also was a category 5 storm for longer than all other Atlantic hurricanes except Ivan in 2004."
140,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,115200.0,90000.0,2981.0,2,140,"Category 4 hurricane made landfall in southeast Puerto Rico after striking the U.S. Virgin Island of St. Croix. Maria's high winds caused widespread devastation to Puerto Rico's transportation, agriculture, communication and energy infrastructure. Extreme rainfall up to 37 inches caused widespread flooding and mudslides across the island. The interruption to commerce and standard living conditions will be sustained for a long period, as much of Puerto Rico's infrastructure is rebuilt. Maria tied Hurricane Wilma (2005) for the most rapid intensification, strengthening from tropical depression to a category 5 storm in 54 hours. Maria's landfall at Category 4 strength gives the U.S. a record three Category 4+ landfalls this year (Maria, Harvey, and Irma). Maria was one of the deadliest storms to impact the U.S., with numerous indirect deaths in the wake of the storm's devastation."
141,Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,1324.6,1043.0,22.0,2,141,"A Nor'easter caused damage across many Northeastern states including MA, NJ, NY, CT, ME, NH, PA, MD, RI, SC, TN, VA, NC and GA."
142,Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,2786.4,2194.0,9.0,2,142,"Powerful Nor'easter impacted many Northeastern states including MD, MA, NH, NJ, NY, PA, CT, DE, RA and VA. Widespread damage resulted from the combination of high winds, heavy snow and heavy coastal erosion."
143,Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1844.1,1452.0,0.0,3,143,"A potent severe storm system caused over 20 tornadoes across Alabama and also widespread hail damage from Texas to Florida. Most notably this system produced an EF-3 tornado that caused extensive damage in Jacksonville, Alabama and across the campus of Jacksonville State University."
144,Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,1660.7,1318.0,3.0,3,144,"Tornadoes and severe storms with large hail cause widespread damage across many Southern and Eastern states (AR, FL, GA, LA, MD, MI, MS, MO, NJ, NY, NC, PA, SC, TX, VA) over a multi-day period. There were over 70 confirmed tornadoes largely clustered in Louisiana, Mississippi, North Carolina and Virginia. This same system also caused winter storm impacts of high wind and ice accumulation in northeastern states."
145,Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,1751.3,1390.0,0.0,3,145,"Numerous central states (KS, NE, OK, TX, NM, MO, IA, IL, IN, OH, WI) were impacted by large hail and tornadoes. Several northeastern states including NY, PA and VT were also impacted by high wind damage from severe storms."
146,Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,1726.2,1370.0,5.0,2,146,"Severe storm damage across many Central states including TX, KS, CO, OK, MO, IL, IN, IA and OH. This was followed by a derecho event across the Northeastern states of MD, NJ, NY, PA, VA, WV, MA and CT that caused widespread high wind damage. Also, there were one dozen tornadoes reported across PA, NY and CT causing further damage."
147,Western Wildfires California Firestorm (Summer-Fall 2018),Wildfire,2018-06-01,2018-12-31,30000.0,24000.0,106.0,213,147,"In 2018, California has experienced its costliest, deadliest and largest wildfires to date, with records back to 1933. The Camp Fire is the costliest and deadliest wildfire - destroying more than 18,500 buildings. California also endured its largest wildfire on record - the Medincino Complex Fire - burning over 450,000 acres. Additionally, California was impacted by other destructive wildfires: the Carr Fire in Northern California and the Woolsey Fire in Southern California. The total 2018 wildfire costs in California (with minor costs in other Western states) approach $24.0 ($30.0) billion - a new U.S. record. In total, over 8.7 million acres has burned across the U.S. during 2018, which is well above the 10-year average (2009-2018) of 6.8 million acres. The last 2 years of U.S. wildfire damage has been unprecedented in damage, with losses exceeding $40.0 ($50.0) billion."
148,Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,3797.4,2990.0,0.0,212,148,"Drought conditions were present across numerous Southwestern and Plains states (TX, OK, KS, MO, CO, NM, AZ, UT). The most extreme drought conditions continue to persist across the Four Corners region of the Southwest. The agriculture sector has been impacted across the affected states including damage to field crops from lack of rainfall. Ranchers have also be forced to sell-off livestock early in some regions due to high feeding costs."
149,Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,1625.0,1300.0,0.0,0,149,"Large-hail impacts highly-populated area of the Dallas-Ft. Worth metroplex. Golfball to baseball-sized hail damages many homes, vehicles and businesses."
150,Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,1193.8,955.0,0.0,0,150,"Severe hail storms cause golf ball to baseball-sized hail and widespread damage in many areas from northern Denver to Boulder and Fort Collins. Many homes, businesses and vehicles were impacted. Utah also experienced moderate hail damage."
151,Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,2778.8,2223.0,0.0,1,151,"Severe hail storms cause golf ball to baseball-sized hail and widespread damage in many areas from northern Denver to Boulder and Fort Collins. Many homes, businesses and vehicles were impacted. Utah also experienced moderate hail damage."
152,Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,1981.6,1585.0,0.0,3,152,"At least 41 tornadoes and high wind damage from thunderstorms impact numerous Central and Eastern states (MO, IA, IL, IN, KS, KY, AL, AR, GA, TN, NC, SC, VA, MD, PA) over a multi-day event. The tornado damage was most severe across Iowa."
153,Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,1063.8,851.0,0.0,3,153,"Severe weather including hail, high winds and 19 tornadoes impacted Montana, Wyoming and Colorado. These impacts caused damage to homes, businesses, vehicles and other infrastructure."
154,Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,1281.4,1025.0,0.0,1,154,"Severe hail impacts from baseball to softball size impacted several states including Colorado, Nebraska and Wyoming. The most costly impacts occurred in numerous locations of eastern Colorado."
155,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,30000.0,24000.0,53.0,3,155,"Hurricane Florence was a large and very slow moving hurricane that produced extreme rainfall across eastern North Carolina (up to 35.93"") and South Carolina (up to 23.81""), as prodigious amounts of rainfall were common in many locations. Florence made landfall as a category 1, at Wrightsville Beach, NC with damaging storm surge up to 10 feet and wind gusts reported over 100 mph. However, the majority of the damage caused by Florence was due to the rainfall inland, which caused many rivers to surpass previous record flood heights. U.S. Marine base Camp Lejeune in North Carolina suffered extensive damage that will cost billions to repair. The total damage from Florence in North Carolina is more than the cost experienced during Hurricane Matthew (2016) and Hurricane Floyd (1999) combined."
156,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975.0,49.0,1,156,"Powerful category 5 hurricane made landfall at Mexico Beach, Florida with devastating winds of 160 mph and storm surge in excess of 15 feet. Mexico Beach was nearly destroyed, while Panama City suffered extensive damage. Florida's Tyndall Air Force Base also suffered a direct strike from Michael's most intense eye wall winds causing billions in damage costs. Michael's intense winds also reached well inland causing billions in damage costs to agriculture and forestry, as high winds hit during harvest season for numerous crops across several states. Michael is the third category 4 or higher storm to make landfall in the U.S. since 2017. Michael is the first category 5 to strike the U.S. mainland since Hurricane Andrew in 1992 and is only the fourth on record. The others are the Labor Day Hurricane (1935) and Hurricane Camille (1969). Michael was initially rated as a category 4 with 155 winds but upgraded to a category 5 with 160 mph winds upon further analysis."
157,Southeast Ohio Valley and Northeast Severe Weather (February 2019),Severe Storm,2019-02-23,2019-02-25,1547.2,1237.5,2.0,2,157,"Tornadoes, severe weather and flooding in the south (MS, AL, TN) and high-wind damage across many Ohio Valley (IL, IN, OH) and Northeastern states (CT, MD, MA, NJ, NY, PA, VA, WV). This storm system produced heavy rain that caused major flooding along parts of the Ohio, Mississippi and Tennessee rivers."
158,Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,13408.9,10727.0,3.0,17,158,"Historic Midwest flooding inundated millions of acres of agriculture, numerous cities and towns, and caused widespread damage to roads, bridges, levees, and dams. The states most affected were Nebraska, Iowa, Missouri, South Dakota, Minnesota, North Dakota, Wisconsin and Michigan. This flood was triggered by a powerful storm with heavy precipitation that intensified snow melt and flooding. Of note, the Offutt Air Force Base in Nebraska was also severely flooded - the third U.S. military base to be damaged by a billion-dollar disaster event over a 6-month period (Sept 2018-Feb 2019). This historic flooding was one of the costliest U.S. inland flooding events on record."
159,Mississippi River Midwest and Southern Flooding (July 2019),Flooding,2019-03-15,2019-07-31,7649.6,6169.0,4.0,138,159,"Additional major flooding impacted many Southern Plains states significantly affecting agriculture, roads, bridges, levees, dams and other assets across many cities and towns. The states most affected were Oklahoma, Nebraska, Missouri, Illinois, Kansas, Arkansas, Kentucky, Tennessee, Texas, Mississippi and Louisiana. Very high water levels also disrupted barge traffic along the Mississippi River, which negatively impacted a variety of dependent industries. Indiana and Ohio were also affected by persistent heavy rainfall that flooded farmland, which prevented and reduced crop planting by millions of acres."
160,Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,1903.4,1535.0,0.0,2,160,"Texas hail storm over the Dallas metroplex damaged many homes, businesses and vehicles. Oklahoma also received hail damage resulting from the same severe weather system."
